id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.222,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,9.624,
02_navtex_en_exercise_polygon,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,warning_id;issued_at;valid_from;valid_to;geometry;agency;entities,,0,geometry_outside_baltic;unsupported_fact,9.616,
03_navtex_en_corrupted_stars,1,0.111,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;location_name;agency,,0,geometry_outside_baltic;unsupported_fact,9.330,
04_bhmw_pl_cable_works,1,0.314,1.00,1.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,issued_at;valid_from;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,12.875,
05_bhmw_pl_wreck,1,0.162,0.00,1.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,12.414,
06_vhf_pl_voice_report,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,warning_id;issued_at;valid_from;valid_to;geometry;location_name;agency;entities,,0,geometry_outside_baltic;unsupported_fact,10.848,
07_vhf_en_voice_report,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,warning_id;issued_at;valid_from;valid_to;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,10.245,
08_navtex_en_gale_warning,1,0.111,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency;entities,,1,geometry_outside_baltic;unsupported_fact,11.812,
09_navtex_en_fldigi_garbled,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,warning_id;issued_at;valid_from;valid_to;agency,,0,geometry_outside_baltic;unsupported_fact,12.027,
10_bhmw_pl_prompt_injection,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,warning_id;issued_at;valid_from;valid_to;geometry;location_name;agency;entities,,0,geometry_outside_baltic;unsupported_fact,11.953,
