id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.508,1.00,1.00,0.00,1.00,1.00,0.00,0.57,0.00,0.00,geometry;agency,,0,unsupported_fact,74.281,
02_navtex_en_exercise_polygon,1,0.167,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,geometry;agency,,0,geometry_outside_baltic;unsupported_fact,82.840,
03_navtex_en_corrupted_stars,1,0.333,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,warning_id;issued_at;valid_from;agency,,0,unsupported_fact,73.756,
04_bhmw_pl_cable_works,1,0.556,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,geometry,,0,geometry_outside_baltic;unsupported_fact,83.429,
05_bhmw_pl_wreck,1,0.356,0.00,1.00,0.00,1.00,1.00,0.00,0.20,0.00,0.00,issued_at;geometry;agency,,0,unsupported_fact,75.744,
06_vhf_pl_voice_report,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,event_type;geometry;location_name;agency;entities,0,schema_invalid,138.088,
07_vhf_en_voice_report,1,0.489,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.40,geometry;agency,,0,geometry_outside_baltic;unsupported_fact,69.122,
08_navtex_en_gale_warning,1,0.444,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,issued_at;valid_from;valid_to,,1,geometry_outside_baltic;unsupported_fact,72.155,
09_navtex_en_fldigi_garbled,1,0.222,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency,,1,geometry_outside_baltic;unsupported_fact,102.162,
10_bhmw_pl_prompt_injection,1,0.444,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,issued_at,geometry,0,unsupported_fact,80.108,
