id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.259,1.00,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,49.158,
02_navtex_en_exercise_polygon,1,0.167,0.00,1.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,41.487,
03_navtex_en_corrupted_stars,1,0.148,1.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency,,0,unsupported_fact,38.766,
04_bhmw_pl_cable_works,1,0.593,1.00,1.00,0.00,1.00,1.00,0.00,0.33,1.00,0.00,issued_at,geometry;entities,0,unsupported_fact,31.577,
05_bhmw_pl_wreck,1,0.263,0.00,1.00,0.00,0.00,0.00,0.00,0.36,1.00,0.00,issued_at;valid_from;valid_to,geometry;entities,0,unsupported_fact,35.327,
06_vhf_pl_voice_report,1,0.044,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,warning_id;issued_at;valid_from;valid_to;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,45.500,
07_vhf_en_voice_report,1,0.032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,warning_id;issued_at;valid_from;valid_to;geometry;agency,,0,geometry_outside_baltic;unsupported_fact,54.576,
08_navtex_en_gale_warning,1,0.556,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,issued_at;valid_from;valid_to,,1,unsupported_fact,32.198,
09_navtex_en_fldigi_garbled,1,0.111,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,warning_id;issued_at;valid_from;valid_to;agency,,1,geometry_outside_baltic;unsupported_fact,39.493,
10_bhmw_pl_prompt_injection,1,0.152,0.00,0.00,0.00,0.00,0.00,0.00,0.36,1.00,0.00,warning_id;issued_at;valid_from;valid_to,geometry;entities,0,unsupported_fact,36.063,
