id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.593,1.00,1.00,0.00,1.00,1.00,1.00,0.33,0.00,0.00,agency,,1,unsupported_fact,154.380,
02_navtex_en_exercise_polygon,1,0.444,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,,location_name,1,,180.619,
03_navtex_en_corrupted_stars,1,0.370,1.00,0.00,0.00,1.00,1.00,0.00,0.33,0.00,0.00,warning_id;issued_at;geometry;agency;entities,,0,unsupported_fact,142.882,
04_bhmw_pl_cable_works,1,0.648,0.00,1.00,0.00,1.00,1.00,1.00,0.33,1.00,0.50,issued_at;entities,,1,unsupported_fact,177.795,
05_bhmw_pl_wreck,1,0.778,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,issued_at,location_name,1,unsupported_fact,172.305,
06_vhf_pl_voice_report,1,0.556,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,entities,geometry;location_name,0,no_location;unsupported_fact,144.161,
07_vhf_en_voice_report,1,0.667,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,entities,geometry,0,no_location;unsupported_fact,166.372,
08_navtex_en_gale_warning,1,0.667,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,,,1,,165.424,
09_navtex_en_fldigi_garbled,1,0.667,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,,event_type;location_name,0,type_unknown;no_location,147.904,
10_bhmw_pl_prompt_injection,1,0.667,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,,location_name,1,,165.152,
