id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.481,1.00,1.00,0.00,1.00,1.00,0.00,0.33,0.00,0.00,geometry;agency,,0,unsupported_fact,31.297,
02_navtex_en_exercise_polygon,1,0.252,1.00,1.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,valid_to;geometry;location_name;entities,,0,unsupported_fact,40.454,
03_navtex_en_corrupted_stars,1,0.370,1.00,0.00,0.00,1.00,1.00,0.00,0.33,0.00,0.00,geometry;agency,,0,geometry_outside_baltic;unsupported_fact,29.880,
04_bhmw_pl_cable_works,1,0.370,0.00,1.00,0.00,0.00,1.00,0.00,0.33,1.00,0.00,geometry;entities,,0,geometry_outside_baltic;unsupported_fact,33.558,
05_bhmw_pl_wreck,1,0.152,0.00,0.00,0.00,0.00,0.00,0.00,0.36,1.00,0.00,issued_at;valid_from;valid_to;geometry,,0,geometry_outside_baltic;unsupported_fact,43.661,
06_vhf_pl_voice_report,1,0.444,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,issued_at;geometry,,0,geometry_outside_baltic;unsupported_fact,36.147,
07_vhf_en_voice_report,1,0.472,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.25,issued_at;geometry,,0,geometry_outside_baltic;unsupported_fact,32.078,
08_navtex_en_gale_warning,1,0.333,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,issued_at;valid_from;valid_to,,1,geometry_outside_baltic;unsupported_fact,34.783,
09_navtex_en_fldigi_garbled,1,0.222,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;agency;entities,,1,unsupported_fact,31.787,
10_bhmw_pl_prompt_injection,1,0.374,0.00,1.00,1.00,0.00,0.00,0.00,0.36,1.00,0.00,valid_from;valid_to;geometry,,0,geometry_outside_baltic;unsupported_fact,39.190,
