id,lang,channel,split,label_origin,source_text,expected_json,verdict,reviewer,comment
seed:001_X_20260903,pl,TEXT,pl,draft,"OSTRZEŻENIE NAWIGACYJNE NR PL 213/2026 (NAVTEX)
KATEGORIA: WYMAGANIA W ZAKRESIE BEZPIECZEŃSTWA
OBSZAR: BAŁTYK POŁUDNIOWY. LOKALIZACJA: WYBRZEŻE POLSKIE, ZATOKA POMORSKA. MAPA INT1295.
AKWEN O WSPÓŁRZĘDNYCH 1. 54-03.73N 014-27.88E 2. 54-11.45N 014-36.38E 3. 54-13.51N 014-46.88E 4. 54-10.31N 014-48.78E OGŁASZA SIĘ JAKO NIEBEZPIECZNY DLA ŻEGLUGI I RYBOŁÓWSTWA ZE WZGLĘDU NA ĆWICZENIA WOJSKOWE Z UŻYCIEM UZBROJENIA W DNIACH: 2026-09-07 OD GODZINY 14:00 DO GODZINY 15:00 2026-09-10 OD GODZINY 21:00 DO GODZINY 23:00
TERMIN OBOWIĄZYWANIA: OD 07 WRZ 2026, 14:00 (CET) DO 10 WRZ 2026, 23:00 (CET)
UWAGI: ZALECANA SZCZEGÓLNA UWAGA
ROZPOWSZECHNIONO 03 WRZ 2026. BHMW, KRAJOWY KOORDYNATOR OSTRZEŻEŃ NAWIGACYJNYCH.
","{""event_type"": ""EXERCISE"", ""warning_id"": ""PL 213/2026"", ""issued_at"": null, ""valid_from"": ""2026-09-07T12:00:00Z"", ""valid_to"": ""2026-09-10T21:00:00Z"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[14.4647, 54.0622], [14.6063, 54.1908], [14.7813, 54.2252], [14.813, 54.1718], [14.4647, 54.0622]]]}, ""location_name"": ""BAŁTYK POŁUDNIOWY, WYBRZEŻE POLSKIE, ZATOKA POMORSKA"", ""agency"": ""BHMW"", ""entities"": []}",,,
seed:002_X_20260903,en,TEXT,en,draft,"NAVIGATIONAL WARNING NO. PL 213/2026 (NAVTEX)
CATEGORY: SECURITY-RELATED REQUIREMENTS
AREA: SOUTHERN BALTIC. LOCALISATION: POLISH COAST, POMERANIAN BAY. CHART INT1295.
DUE TO MILITARY EXERCISES AREA BOUNDED BY POSITIONS 1. 54-03.73N 014-27.88E 2. 54-11.45N 014-36.38E 3. 54-13.51N 014-46.88E 4. 54-10.31N 014-48.78E IS TEMPORARILY DANGEROUS FOR SHIPPING AND FISHERY: ON 2026-09-07 FROM 12:00 TO 13:00 ON 2026-09-10 FROM 19:00 TO 21:00 TIME IN UTC
TERM OF VALIDITY: FROM 07 SEP 2026, 12:00 (UTC) TO 10 SEP 2026, 21:00 (UTC)
REMARKS: EXTREME CAUTION ADVISED
PROMULGATED 03 SEP 2026. HYDROGRAPHIC OFFICE OF THE POLISH NAVY, POLISH COORDINATOR OF RADIO NAVIGATIONAL WARNINGS.
","{""event_type"": ""EXERCISE"", ""warning_id"": ""PL 213/2026"", ""issued_at"": null, ""valid_from"": ""2026-09-07T12:00:00Z"", ""valid_to"": ""2026-09-10T21:00:00Z"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[14.4647, 54.0622], [14.6063, 54.1908], [14.7813, 54.2252], [14.813, 54.1718], [14.4647, 54.0622]]]}, ""location_name"": ""SOUTHERN BALTIC, POLISH COAST, POMERANIAN BAY"", ""agency"": ""BHMW"", ""entities"": []}",,,
seed:003_P_20180521,en,SDR,en,none,"ZCZC PA19
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 19 212040 UTC MAY
WINDFARM BORSSELE
GEOPHYSICAL SURVEY BY BIBBY TETHRA 2EGF8
A. 51-41N 003-08E
B. 51-41N 002-58E
C. 51-49N 003-08E
D. 51-49N 002-58E
WIDE BERTH REQUESTED
NNNN
",,,,
seed:004_P_20180523,en,SDR,en,none,"ZCZC PA40
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 40 230327 UTC MAY
GEOTECHNICAL DRILLING OPERATIONS
BY MV FUGRO SYNERGY / C6XR3 IN AN AREA
BOUNDED BY:
A: 52-50N 004-14E
B: 52-50N 004-22E
C: 52-36N 004-22E
D: 52-36N 004-08E
WIDE BERTH REQUESTED.
NNNN
",,,,
seed:005_P_20180524,en,SDR,en,none,"ZCZC PA42
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 42 241200 UTC MAY
RIFFGAT
FOLLOWING LIGHTBUOYS ESTABLISHED
MARKING OYSTER SEABED FARM
CARDINAL SPAR BUOY WNF-N VQ
53-42.7N 006-20.9E
CARDINAL SPAR BUOY WNF-S Q(6) "" LFL15S
53-41.9N 006-21.0E

NNNN
",,,,
seed:006_P_20180525,en,SDR,en,none,"ZCZC PA43
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 43 250803 UTC MAY
TEXEL
WESTCARDINAL LIGHTBUOY ZINK-W  VQ (9)10S
RE-ESTABLISHED IN POSITION 53-4.7N 004-42.1E
COVERING A FLOATING PIPELINE
NNNN
",,,,
seed:007_P_20180528,en,SDR,en,none,"ZCZC PA49
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 49 280825 UTC MAY
WEST OF TEXEL
GEOPOTES 15/PEHO CONDUCTING DREDGING OPERATIONS
IN THE FOLLOWING AREA:
A. 53-07.4N 004-32.5E
B. 53-06.0N 004 31.2E
C. 53-04.4N 004-42.4E
WIDE BERTH REQUESTED

NNNN
",,,,
seed:008_P_20180529,en,SDR,en,none,"ZCZC PA54
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 54 291003 UTC MAY
FOLLOWING BUOYS PERMANENTLY DISCONTINUED:
- MEET W  VQ (9) 10 S  52-16.85N 004-14.45E
- MEET W 1 Q (9) 15 S  52-14.31N 004-22.14E
- MEET E  VQ (3)  5 S  52-13.95N 004-23.36E

NNNN
",,,,
seed:009_P_20180530,en,SDR,en,none,"ZCZC PA56
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 56 300755 UTC MAY
PLATFORM L10-L 53-25.1N 004-11.1E
FOGHORN INOPERATIVE
NNNN
",,,,
seed:010_P_20180531,en,SDR,en,none,"ZCZC PA57
NETHERLANDS COASTGUARD
NAVIGATIONAL WARNING NR. 57 310309 UTC MAY
TSS MAAS NORTH
PIPELINE SURVEY BY FUGRO PIONEER CS C6BH3
A) 52-19.2N 003-46.6E
B) 52-19.1N 003-52.3E
C) 52-07.7N 003-55.8E
D) 52-07.7N 003-44.6E
WIDE BERTH REQUESTED
NNNN
",,,,
